,winner,method,weightclass,red_slpm,red_str_acc,red_sapm,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_slpm,blue_str_acc,blue_sapm,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,red_fighter_elo,blue_fighter_elo
59,1,6,12,4.28,0.48,3.87,0.61,3.12,0.47,0.81,0.9,5.62,0.55,5.37,0.56,0.87,0.8,0.58,0.4,1556.823887400686,1487.903914454218
60,1,6,6,4.01,0.43,4.47,0.6,3.21,0.43,0.77,0.2,3.78,0.46,3.17,0.54,2.5,0.51,0.31,0.2,1527.8505402194764,1523.6487891733452
61,1,1,2,5.45,0.49,4.07,0.56,1.74,0.4,0.8,0.2,3.23,0.43,6.01,0.37,4.75,0.38,0.0,1.9,1503.8259889777564,1467.670601188163
62,1,4,6,3.75,0.5,2.61,0.62,0.0,0.0,0.85,0.0,3.87,0.43,3.82,0.56,1.59,0.31,0.68,0.1,1529.5116065271886,1461.472888765053
63,0,5,8,2.62,0.54,2.42,0.53,1.18,0.36,0.63,0.4,4.0,0.55,2.94,0.59,3.62,0.54,0.86,0.9,1655.2593869730467,1619.8538467112608
64,0,6,5,3.44,0.49,3.03,0.52,1.03,0.48,0.69,0.3,6.77,0.55,4.21,0.51,0.58,0.6,0.85,0.2,1580.4463541294244,1608.0337571365312
65,0,6,8,1.77,0.61,3.06,0.48,2.0,0.52,0.68,1.0,4.19,0.5,3.1,0.5,0.77,0.37,0.54,0.6,1556.0531610802564,1581.99348912664
66,0,5,12,5.28,0.49,4.65,0.62,1.78,0.36,0.38,0.5,5.73,0.4,2.82,0.7,3.07,1.0,0.0,2.3,1489.2447617580196,1516.2531678853031
67,0,5,6,2.11,0.45,1.9,0.58,0.63,0.14,0.44,0.0,4.2,0.45,3.63,0.47,4.1,0.43,0.37,0.6,1469.6135543622238,1545.7653930332597
68,1,6,2,5.66,0.51,3.89,0.56,1.41,0.48,0.72,0.6,3.46,0.49,4.15,0.51,1.91,0.5,0.83,0.4,1586.78889451828,1503.3180904205442
69,0,4,6,3.07,0.4,3.26,0.53,0.43,0.21,0.66,0.0,4.13,0.51,3.68,0.57,1.56,0.3,1.0,0.5,1481.1167176676236,1544.9300984815802
70,1,6,3,3.73,0.5,3.42,0.61,1.85,0.5,1.0,0.0,3.75,0.39,3.8,0.41,0.0,0.0,0.2,0.5,1530.666693122453,1472.3136185154576
71,1,6,4,3.6,0.48,3.31,0.55,1.39,0.33,0.75,0.1,4.7,0.5,4.13,0.58,1.38,0.46,0.5,0.2,1593.088572895982,1545.8713274586808
72,1,6,7,4.75,0.59,3.01,0.51,0.24,0.11,0.72,0.0,3.87,0.58,3.93,0.48,0.5,0.16,0.85,0.0,1529.9953381762662,1484.6752021069549
73,1,5,12,4.77,0.43,3.88,0.44,0.0,0.0,0.42,0.8,5.61,0.48,5.82,0.46,0.0,0.0,1.0,0.0,1516.7050252923232,1498.5613492773118
74,0,4,0,3.44,0.6,1.7,0.61,3.53,0.38,0.5,0.7,4.73,0.42,5.2,0.52,3.0,0.34,0.87,0.0,1498.5865812199804,1502.6412067597273
75,0,6,6,3.53,0.45,4.22,0.54,0.61,0.15,0.75,0.0,4.0,0.54,1.32,0.61,1.3,1.0,0.76,0.0,1487.2081224567771,1516.27311653143
76,0,6,7,4.54,0.46,4.37,0.56,1.51,0.45,0.69,0.4,3.58,0.42,3.56,0.49,1.11,0.4,0.33,0.9,1544.3681135116467,1575.8669108545778
77,1,1,8,4.72,0.62,2.64,0.57,0.0,0.0,0.75,0.2,4.26,0.41,3.52,0.56,0.75,0.2,0.68,0.5,1533.5444874460468,1576.3681588297995
78,1,6,6,4.38,0.4,4.62,0.57,1.24,0.36,0.71,0.1,4.65,0.45,4.3,0.49,0.66,0.33,0.39,0.8,1568.1981552901018,1452.244975719877
79,1,5,0,4.7,0.46,4.15,0.52,1.56,0.36,0.71,1.6,3.61,0.45,3.18,0.57,2.13,0.37,0.69,0.6,1538.6331947158394,1463.367465454324
80,0,5,5,3.13,0.48,3.4,0.59,2.0,1.0,1.0,0.0,3.34,0.43,3.72,0.55,1.07,0.42,0.0,0.7,1483.2993225801245,1501.475923064998
81,0,1,2,3.56,0.38,3.16,0.47,0.83,0.54,0.7,0.0,6.48,0.51,5.7,0.57,0.0,0.0,0.66,0.0,1485.3828622126662,1515.291113137517
82,1,1,4,5.76,0.49,3.47,0.55,0.49,0.5,0.66,0.2,3.2,0.39,4.21,0.43,1.17,0.31,0.52,1.5,1571.067988040312,1538.861813934381
83,1,6,0,1.88,0.44,1.32,0.71,4.75,0.55,0.66,0.5,4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5,1530.6020706062611,1470.964681422587
84,1,5,0,1.53,0.57,2.79,0.49,0.0,0.0,0.25,1.6,3.45,0.43,4.6,0.28,0.82,0.5,0.77,0.8,1502.0412411926166,1483.3265604685694
85,0,4,12,5.36,0.41,3.38,0.61,0.67,0.66,0.8,0.0,4.41,0.46,4.57,0.58,1.08,0.32,0.6,0.1,1499.803096505845,1513.3820871163805
86,0,5,3,3.65,0.49,5.95,0.5,1.93,0.28,0.8,0.6,4.06,0.6,2.49,0.57,1.36,0.75,0.75,1.1,1485.3800127681975,1559.7659422907086
87,0,1,9,5.65,0.43,5.76,0.51,0.0,0.0,0.58,0.0,4.03,0.44,7.15,0.43,0.15,0.33,0.65,0.0,1469.754333358214,1506.122441907769
88,0,1,11,13.53,0.48,10.75,0.53,0.0,0.0,0.0,0.0,11.18,0.53,10.01,0.53,0.95,0.25,0.7,0.0,1483.19618057542,1499.3343953006606
89,0,6,5,5.0,0.62,3.5,0.53,0.11,0.5,0.78,0.2,3.66,0.52,2.46,0.57,0.8,0.22,0.87,0.0,1622.4681166367814,1662.1136691465522
90,1,6,6,6.59,0.58,7.18,0.51,0.1,0.14,0.68,0.0,4.85,0.52,4.95,0.48,0.5,0.57,0.9,0.0,1601.7683209537274,1538.7974120261983
91,0,5,6,5.53,0.48,4.55,0.41,0.77,0.55,0.75,1.1,7.09,0.47,4.36,0.57,0.0,0.0,0.85,0.5,1509.0910982842145,1550.8726576621975
92,1,6,12,2.89,0.54,3.46,0.44,1.14,0.62,0.59,0.7,2.94,0.44,2.53,0.65,2.15,0.6,0.54,0.2,1572.027457230507,1520.6419655971138
93,0,1,6,6.4,0.52,3.72,0.62,1.22,0.39,0.74,0.3,4.54,0.58,4.59,0.61,0.0,0.0,1.0,0.0,1510.2946159603723,1532.7552789205097
94,1,6,3,8.1,0.54,5.24,0.6,1.11,0.63,0.8,0.0,2.24,0.52,2.01,0.42,5.06,0.37,0.5,1.9,1570.3743892272255,1501.845127802702
95,1,5,7,3.54,0.49,3.54,0.49,1.14,0.23,0.53,0.8,5.84,0.53,3.31,0.53,0.17,0.33,0.41,0.0,1529.4215774800712,1486.289211427597
96,0,1,8,5.03,0.4,4.78,0.56,0.33,0.24,0.47,0.3,9.65,0.5,7.73,0.53,0.78,0.25,0.9,0.0,1543.0471208288675,1506.4390238687574
97,1,4,2,4.14,0.45,2.37,0.7,0.0,0.0,0.4,0.0,3.46,0.33,4.1,0.54,2.75,0.44,0.66,0.4,1530.4988069298563,1468.8070373973237
98,0,6,7,7.2,0.43,5.87,0.49,1.0,0.4,0.86,0.0,6.44,0.5,7.23,0.59,0.0,0.0,0.5,0.0,1483.2975328274754,1501.4387739660467
99,1,1,3,5.04,0.55,4.05,0.57,0.42,0.3,0.81,0.3,2.32,0.54,1.76,0.53,4.13,0.42,0.66,1.4,1556.9490359504657,1545.4668221337608
100,1,1,7,2.14,0.54,2.98,0.42,2.15,0.47,0.68,0.9,5.06,0.45,5.35,0.5,0.0,0.0,0.54,2.6,1504.664081485742,1463.3651630312345
101,1,4,6,6.4,0.45,6.01,0.63,0.35,0.2,0.84,0.0,8.08,0.43,5.92,0.55,0.48,0.66,0.63,0.2,1589.7535750047211,1520.4716660368108
102,1,4,2,6.84,0.57,4.0,0.52,0.78,0.22,0.8,1.2,3.53,0.51,2.86,0.6,0.62,0.27,0.73,0.4,1548.1743260267244,1545.9476058294083
103,0,1,8,5.62,0.5,3.7,0.51,0.0,0.0,1.0,0.0,3.17,0.41,3.6,0.48,1.61,1.0,0.33,3.2,1514.4733093712457,1532.006174484968
104,0,1,4,2.98,0.5,2.41,0.4,1.7,0.28,0.5,0.0,3.67,0.71,5.29,0.51,0.0,0.0,1.0,0.0,1470.8767087029798,1515.3668220233278
105,0,6,2,2.97,0.36,4.06,0.54,2.57,0.57,0.7,0.7,4.95,0.56,3.07,0.51,2.85,0.39,0.73,0.2,1517.350253208482,1578.332892724481
106,1,4,2,7.36,0.59,7.96,0.61,2.33,0.46,1.0,0.3,4.94,0.39,5.04,0.44,0.0,0.0,0.53,0.0,1532.80985900009,1487.2042853428222
107,0,6,11,4.62,0.45,3.91,0.61,1.65,0.52,0.53,0.6,3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,1443.9654798633048,1547.6707075322788
108,0,6,3,4.74,0.49,3.62,0.57,0.5,0.2,0.67,0.4,4.37,0.4,3.93,0.59,0.84,0.5,1.0,0.0,1531.3267815666418,1533.4485668329864
109,0,6,0,3.82,0.47,3.46,0.59,1.84,0.31,0.76,0.1,4.58,0.43,4.0,0.55,0.61,0.38,0.73,0.1,1513.7506482957988,1597.9296026299885
110,0,6,7,3.55,0.53,3.67,0.45,1.53,0.38,0.56,1.3,4.5,0.63,2.61,0.46,6.27,0.45,0.66,1.9,1606.2860231859024,1600.6103147627778
111,1,4,1,5.49,0.46,3.67,0.57,0.79,0.34,0.42,0.4,5.18,0.41,5.4,0.45,2.73,0.47,0.57,0.3,1577.970159706358,1517.2479196586426
112,1,1,2,4.87,0.52,4.13,0.56,0.6,0.5,0.86,0.9,5.04,0.59,3.14,0.56,0.0,0.0,0.72,0.0,1565.3242330754172,1513.9510324477762
113,1,4,5,4.0,0.55,3.92,0.49,0.56,0.31,0.78,0.2,5.73,0.5,5.8,0.4,1.0,0.11,1.0,0.0,1557.751667013635,1486.0044576650776
114,1,5,5,4.3,0.43,3.38,0.46,4.17,0.52,0.75,0.1,7.84,0.5,4.43,0.63,0.0,0.0,0.83,0.0,1504.6884808620437,1511.3709808875783
