fighter_name,elo,fights,wins,win_ratio
Adam Fugitt,1499.0673955914626,4,2,0.5
Bradley Scott,1456.2522655150112,8,3,0.375
Heather Jo Clark,1473.5908116622447,3,1,0.3333333333333333
Simeon Thoresen,1469.1081384321055,3,1,0.3333333333333333
Robbie Lawler,1601.1331784526078,18,11,0.6111111111111112
Christian Leroy Duncan,1561.4874658812769,6,4,0.6666666666666666
Saparbeg Safarov,1432.7304458414467,4,1,0.25
Guilherme Vasconcelos,1468.4051992492216,1,0,0.0
Kyle Kingsbury,1468.8099175540058,7,3,0.42857142857142855
Jake Lindsey,1396.925532681547,3,0,0.0
Bristol Marunde,1427.4269273965592,2,0,0.0
George Sotiropoulos,1439.8382368011787,6,2,0.3333333333333333
Frankie Edgar,1583.231263086293,22,12,0.5454545454545454
Irwin Rivera,1482.5588618953223,3,1,0.3333333333333333
Luis Pena,1558.9451479965037,8,5,0.625
Ricky Glenn,1445.1451048498786,4,1,0.25
Roger Gracie,1471.2,1,0,0.0
Rafael Feijao,1438.990107205085,5,1,0.2
Jim Miller,1599.3904577694905,39,22,0.5641025641025641
Roy Nelson,1505.4144007597365,18,8,0.4444444444444444
Marcin Wrzosek,1477.6,1,0,0.0
Aleksandar Rakic,1585.421740215688,10,6,0.6
Austin Bashi,1474.4455344149626,1,0,0.0
Luke Zachrich,1459.6188016845113,3,1,0.3333333333333333
Dan Stittgen,1441.6657076479928,2,0,0.0
Rashid Magomedov,1613.559917328853,6,5,0.8333333333333334
Caol Uno,1461.6,1,0,0.0
Volkan Oezdemir,1585.2054790766063,15,8,0.5333333333333333
Charlie Valencia,1461.6,1,0,0.0
Rich Franklin,1491.3177026547846,4,2,0.5
Francisco Figueiredo,1490.4805562827999,4,2,0.5
Felice Herrig,1486.66060181487,10,5,0.5
Alexis Dufresne,1448.3169498362658,2,0,0.0
Joseph Morales,1465.7432624339926,3,1,0.3333333333333333
Thomas Petersen,1510.755574396697,4,2,0.5
Justin Jaynes,1456.870835895268,4,1,0.25
Ilia Topuria,1767.4273040141131,8,8,1.0
Demian Maia,1646.4906897266656,26,16,0.6153846153846154
Ulka Sasaki,1493.7102925821894,9,4,0.4444444444444444
